,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
205,Cal State Fullerton,Big West,,,7,7,70.9,63.1,7.79,,-4.51,,-0.85,-4.41,-5.26,82.34,90.74,-8.40
206,St. Thomas,Summit,,,7,8,63.5,58.5,4.93,,0.49,,-10.57,5.31,-5.26,81.00,90.42,-9.42
207,Duquesne,A-10,,,7,7,70.9,64.9,6.07,,-5.46,,-2.26,-3.12,-5.38,82.70,92.41,-9.71
208,Bowling Green,MAC,,,8,6,74.2,67.5,6.71,,3.78,,-0.51,-4.91,-5.42,87.61,95.89,-8.29
209,Illinois-Chicago,MVC,,,7,8,63.2,63.7,-0.47,,-4.98,,-4.88,-0.57,-5.44,89.90,98.99,-9.09
210,NJIT,AmEast,,,10,5,68.3,64.8,3.47,,-9.03,,1.76,-7.32,-5.56,94.01,103.09,-9.08
211,UTEP,CUSA,,,9,4,70.7,66.6,4.08,,-2.87,,0.06,-5.75,-5.69,87.38,96.13,-8.75
212,Sacramento State,Big Sky,,,7,8,66.2,58.5,7.73,,-3.58,,-7.64,1.83,-5.81,81.86,90.77,-8.91
213,UT Arlington,WAC,,,6,9,60.6,67.0,-6.40,,0.49,,-4.88,-1.03,-5.91,81.78,89.08,-7.30
214,Florida International,CUSA,,,7,5,77.2,69.1,8.08,,-6.42,,3.77,-9.74,-5.97,86.55,96.15,-9.60
